AQW00061705        6090C
USC00153246        1605R
USC00153295        1542R
USC00153382         748R
USC00153389         940R
USC00153391         849R
USC00153430        1313S
USC00153604        1480R
USC00153741        1091R
USC00153744         897Q
USC00153762        1367R
USC00153929        1228S
USC00153994        1535R
USC00154138         887Q
USC00154208        1024R
USC00154375        1531Q
USC00154703         927S
USC00154958        1257Q
USC00154967        1624R
USC00155067        1622R
USC00155097        1544R
USC00155111         922R
USC00155165        1209Q
USC00155233        1592R
USC00155243        1089R
USC00155280        1111Q
USC00155389        1077R
USC00155524        1146S
USC00155640         921R
USC00155648        1113S
USC00155694        1647R
USC00155834        1415S
USC00156012         675Q
USC00156028        1046Q
USC00156091        1759R
USC00156117        1761R
USC00156136        1140R
USC00156224        1078Q
USC00156580        1566S
USC00156595        1625R
USC00156882        1462R
USC00156988        1247S
USC00157049        1409R
USC00157215        1201S
USC00157324        1016R
USC00157510        1070R
USC00157592        1453Q
USC00157652         888Q
USC00157677         897S
USC00157800        1123R
USC00158432         694Q
USC00158446        1031R
USC00158551         819R
USC00158553         920Q
USC00158555        1396Q
USC00158709         966R
USC00158714        1221R
USC00158824        1175Q
USC00160098        2652S
USC00160103        2301R
USC00160205        2426S
USC00160349        2226S
USC00160537        2100S
USC00160718        2301Q
USC00160800        2251R
USC00160945        2517R
USC00161232        2546S
USC00161246        2446R
USC00161287        2563S
USC00161292        2929R
USC00161411        2098S
USC00161565        2679S
USC00161899        2155S
USC00161941        2343Q
USC00161979        2208R
USC00162151        2357R
USC00162212        2729S
USC00162361        2405R
USC00162367        2565S
USC00162534        2630C
USC00162800        2480R
USC00162981        2936R
USC00163079        2247R
USC00163313        2606R
USC00163327        2502R
USC00163433        2840S
USC00163800        2631S
USC00163979        2994R
USC00164030        2489S
USC00164288        2474Q
USC00164355        1955R
USC00164407        2931R
USC00164674        2735S
USC00164696        2245R
USC00164700        2712C
USC00164739        2532R
USC00165021        2614R
USC00165065        2955R
USC00165090        2340C
USC00165146        2439Q
USC00165266        2333R
USC00165296        2691R
USC00165527        2239R
USC00165620        2632S
USC00165624        2943R
USC00165630        2546S
USC00165874        2193R
USC00165892        2366R
USC00165926        2655R
USC00166244        2246S
USC00166314        2263S
USC00166364        2336Q
USC00166394        2749S
USC00166434        2555Q
USC00166582        2718S
USC00166584        2502Q
USC00166657        2913R
USC00166686        2716S
USC00166938        2571R
USC00166978        2301R
USC00167344        2203R
USC00167691        2398R
USC00167738        2453S
USC00167767        2784S
USC00167924        2313Q
USC00167932        2601S
USC00168046        2314S
USC00168067        2012R
USC00168108        2782R
USC00168163        2532S
USC00168181        2525Q
USC00168444        2330Q
USC00168448        2375Q
USC00168539        2615S
USC00168543        2512R
USC00168923        2359S
USC00168941        3055R
USC00169013        2728R
USC00169074        2444Q
USC00169803        2314R
USC00169804        2429Q
USC00169806        2470S
USC00170100         389S
USC00170200         136R
USC00170398         213R
USC00170480         187S
USC00170655         198Q
USC00170814         153S
USC00170833         197S
USC00170844         242S
USC00171472         133R
USC00171628         279S
USC00171833         244R
USC00171975         217R
USC00172048         246R
USC00172238         254S
USC00172426          95R
USC00172620         266R
USC00172623         229Q
USC00172700         127R
USC00172765         244C
USC00172878         146S
USC00173046         345S
USC00173261         310R
USC00173295         390R
USC00173353         184Q
USC00173417         217Q
USC00173570         166R
USC00173862         306R
USC00173944         236R
USC00174086         155S
USC00174183         146R
USC00174193         214R
USC00174566         410R
USC00174683         307Q
USC00174781         121S
USC00174927         288S
USC00175261         151R
USC00175304         276S
USC00175347         266Q
USC00175675         296S
USC00176430         428R
USC00176594         169R
USC00176721         130R
USC00176856         343Q
USC00176875         207Q
USC00176881          80R
USC00176937         249S
USC00177037         124S
USC00177039         103R
USC00177174         181R
USC00177238         149R
USC00177325         312S
USC00177479         502S
USC00177654         220R
USC00178353         253R
USC00178792         229Q
USC00178817         330Q
USC00178965         165S
USC00178974         269R
USC00179151         356S
USC00179294         200R
USC00179314         356S
USC00179547         220Q
USC00179593         266S
USC00179891         298S
USC00180193        1681R
USC00180335        1230R
USC00180700        1237S
USC00180732        1395R
USC00181385        1501R
USC00181530         789S
USC00181750        1237S
USC00181862        1046R
USC00181995        1462R
USC00182060        1297R
USC00182282        1175S
USC00182308         881Q
USC00182325        1409S
USC00182335        1022R
USC00182336         906R
USC00182906         859S
USC00183348        1373R
USC00183353        1080Q
USC00183415         407S
USC00183675        1129R
USC00184030         857R
USC00185080        1262R
USC00185111        1394R
USC00185832         401R
USC00185865        1014S
USC00185934         794R
USC00185985        1207R
USC00186350        1533S
USC00186620         326S
USC00186770        1218R
USC00186800        1382Q
USC00187330        1147R
USC00187705        1197R
USC00187806        1423S
USC00188000        1436S
USC00188065         490S
USC00188207         874R
USC00188371         879Q
USC00188380        1322C
USC00188405        1564Q
USC00188557        1227Q
USC00189030         926R
USC00189070        1198R
USC00189140        1478S
USC00189440        1007R
USC00189570         944Q
USC00189750        1147R
USC00190120         515S
USC00190190         342Q
USC00190192         278Q
USC00190213         163Q
USC00190408         296R
USC00190535         561R
USC00190562         427Q
USC00190593         377R
USC00190666         374R
USC00190759         305R
USC00190840         500Q
USC00190860         536S
USC00190998         479R
USC00191386         322S
USC00191774         285R
USC00191821         335Q
USC00192107         488S
USC00192451         525R
USC00192501         589S
USC00193213         510R
USC00193229         389Q
USC00193276         511R
USC00193505         535S
USC00193624         631S
USC00193821         496R
USC00193890         721R
USC00193985         335R
USC00194075         266R
USC00194105         709S
USC00194131         380R
USC00194313         607R
USC00194502         563R
USC00194580         658S
USC00194711         499Q
USC00194744         729S
USC00195175         530Q
USC00195246         804R
USC00195984         558R
USC00196245         513R
USC00196486         574S
USC00196783         585S
USC00196938         611S
USC00197230         244Q
USC00197627         437R
USC00198367         675R
USC00198573         473R
USC00198757         664S
USC00199193         478Q
USC00199316         620R
USC00199371         238Q
USC00199972         257R
USC00200032         543S
USC00200089         263R
USC00200106         652Q
USC00200128         470R
USC00200146         530C
USC00200166         281R
USC00200197         209Q
USC00200220         524Q
USC00200228         561Q
USC00200230         731S
USC00200342         251Q
USC00200343         323R
USC00200361         449Q
USC00200417         444S
USC00200446         437R
USC00200718         196S
USC00200758         400Q
USC00200770         287R
USC00200779         381S
USC00200842         582Q
USC00200864         526R
USC00200925         525C
USC00201052         443Q
USC00201150         493Q
USC00201238         419Q
USC00201250         511Q
USC00201299         491R
USC00201343         451Q
USC00201361         397R
USC00201435         122Q
USC00201439         144R
USC00201468         486R
USC00201476         520S
USC00201486         231R
USC00201492         293R
USC00201502         546Q
USC00201675         580S
USC00201780         197R
USC00201802         283R
USC00201818         462Q
USC00201896         239S
USC00202015         795S
USC00202016         728Q
USC00202094         230S
USC00202250         556S
USC00202308         733Q
USC00202328         570Q
USC00202381         392C
USC00202395         666R
USC00202423         375S
USC00202427         713Q
USC00202445         904S
USC00202503         231Q
USC00202631         649S
USC00202691         548Q
USC00202737         250R
USC00202788         419Q
USC00202804         351R
USC00202851         509Q
USC00202955         397Q
USC00202984         343S
USC00203025         377Q
USC00203096         323S
USC00203099         262R
USC00203188         216Q
USC00203278         513Q
USC00203290         593R
USC00203295         370Q
USC00203391         290S
USC00203429         491R
USC00203477         631S
USC00203504         805R
USC00203529         329S
USC00203585         313S
USC00203628         266R
USC00203632         387R
USC00203661         516S
USC00203712         533Q
USC00203744         195R
USC00203769         408R
USC00203823         549R
USC00203858         694R
USC00203913         461Q
USC00203930         296R
USC00203932         287R
USC00203947         627Q
USC00204078         538S
USC00204090         346S
USC00204104         248S
USC00204130         232Q
USC00204257         276R
USC00204258         225Q
USC00204399         419Q
USC00204502         288S
USC00204655         511S
USC00204659         527Q
USC00204793         504Q
USC00204808         423Q
USC00204954         420R
USC00204967         261R
USC00205050         544Q
USC00205065         475S
USC00205073         140S
USC00205097         480R
USC00205168         372Q
USC00205434         612S
USC00205450         595R
USC00205451         650Q
USC00205452         516R
USC00205531         381R
USC00205533         305Q
USC00205558         821R
USC00205563         753Q
USC00205567         400S
USC00205591         154Q
USC00205603         638Q
USC00205662         522R
USC00205690         214R
USC00205810         100Q
USC00205816         171R
USC00205822         690Q
USC00206007         275Q
USC00206012         458R
USC00206158         394R
USC00206184         401S
USC00206220         332S
USC00206300         553S
USC00206442         237Q
USC00206507         286S
USC00206510         240Q
USC00206583         202Q
USC00206587         445Q
USC00206658         596R
USC00206662         407Q
USC00206663         347R
USC00206680         652R
USC00206982         511Q
USC00207094         341S
USC00207190         207R
USC00207222         598Q
USC00207225         452Q
USC00207253         442R
USC00207274         242S
USC00207277         254R
USC00207280         593S
USC00207308         589Q
USC00207312         595Q
USC00207320         606Q
USC00207350         492R
USC00207364         191R
USC00207515         346R
USC00207684         369Q
USC00207690         685S
USC00207812         146S
USC00207820         338S
USC00207867         280R
USC00208043         148R
USC00208080         609Q
USC00208184         686S
USC00208202         582Q
USC00208249         425Q
USC00208293         187R
USC00208345         149Q
USC00208417         261S
USC00208443         383Q
USC00208680         192R
USC00208706         158Q
USC00208774         417Q
USC00208800         321S
USC00208920         123S
USC00208941         436R
USC00208972         433Q
USC00209188         371Q
USC00210018         465R
USC00210050         453R
USC00210059         268R
USC00210075         616S
USC00210157         748R
USC00210190         459Q
USC00210252         344C
USC00210287         570S
USC00210355         531S
USC00210387         218R
USC00210515         349R
USC00210564         133Q
USC00210643         275R
USC00210667         570S
USC00210746         300R
USC00210809         226R
USC00210939         355S
USC00210973         590Q
USC00210989         134R
USC00211063         549R
USC00211065         572Q
USC00211074         241R
USC00211107         552R
USC00211174         467R
USC00211198         513S
USC00211227         506R
USC00211245         510R
USC00211250         248Q
USC00211263         675S
USC00211374         332S
USC00211390         528R
USC00211448         605R
USC00211465         795R
USC00211468         558Q
USC00211630         253S
USC00211691         638S
USC00211771         244Q
USC00211776         258R
USC00211840         164R
USC00211891         420S
USC00212015         552Q
USC00212023         661Q
USC00212050         368R
USC00212088         558R
USC00212142         550R
USC00212246         193R
USC00212500         607Q
USC00212543         227R
USC00212555         232Q
USC00212576          90R
USC00212645         219R
USC00212698         753S
USC00212721         559S
USC00212737         637S
USC00212768         504R
USC00212842         179R
USC00212881         589S
USC00212916         286R
USC00213076         616S
USC00213104         533S
USC00213174         528S
USC00213282          79S
USC00213290         435S
USC00213296          81R
USC00213303         326C
USC00213311         556Q
USC00213411         380S
USC00213417         170R
USC00213455         377R
USC00213567         629R
USC00213793         294R
USC00213962         609S
USC00214103         291R
USC00214106         257S
USC00214176         508R
USC00214191         188Q
USC00214306         216R
USC00214373         385Q
USC00214453         529R
USC00214534         606S
USC00214546         627S
USC00214652         338S
USC00214778         565S
USC00214793         580S
USC00214809         212R
USC00214861         393S
USC00214884         950R
USC00214918          89R
USC00214937         686R
USC00214994         646S
USC00215012         428R
USC00215073         654R
USC00215175         218R
USC00215204         670S
USC00215325         434R
USC00215392         388S
USC00215400         712S
USC00215563         578R
USC00215586         591R
USC00215598         349S
USC00215615         407R
USC00215638         498S
USC00215838         662R
USC00215842         640S
USC00215887         712S
USC00215902         357Q
USC00215989         184Q
USC00216148         344R
USC00216152         560S
USC00216211          93Q
USC00216228         552Q
USC00216276         509R
USC00216287         636S
USC00216547         376S
USC00216565         586S
USC00216612         315Q
USC00216654         551S
USC00216787         373S
USC00216795         367R
USC00216822         645R
USC00216839         588Q
USC00216920         421Q
USC00217087         287R
USC00217107         577S
USC00217149         496R
USC00217184         519R
USC00217326         637S
USC00217377         675R
USC00217379         654Q
USC00217405         727S
USC00217460         339Q
USC00217502         545S
USC00217907         622S
USC00217935         717Q
USC00218025         642R
USC00218037         888R
USC00218039         514Q
USC00218191         335R
USC00218227         569R
USC00218247         392R
USC00218254         300R
USC00218307         222Q
USC00218311         167S
USC00218323         693S
USC00218419         163S
USC00218421         147R
USC00218429         562R
USC00218450         778R
USC00218477         832R
USC00218579         308S
USC00218618         355R
USC00218621         323Q
USC00218679         273S
USC00218692         667S
USC00218700         235R
USC00218808         684R
USC00218907         568S
USC00218947         521Q
USC00218986         421R
USC00219004         603S
USC00219033         759S
USC00219046         658S
USC00219067         878R
USC00219072         609R
USC00219101         280R
USC00219134         178R
USC00219170         587S
USC00219173         245S
USC00219249         476S
USC00220021        1977S
USC00220488        1864R
USC00220521        2093R
USC00220585        2400R
USC00220660        2364S
USC00220792        2724R
USC00220955        1598R
USC00221094        2138S
USC00221111        2216Q
USC00221314        1879S
USC00221389        2082R
USC00221489        2003R
USC00221606        1950R
USC00221707        2041S
USC00221738        2252R
USC00221743        2142R
USC00221852        2125S
USC00221865        2447R
USC00221880        2141R
USC00221962        1639S
USC00222094        2475R
USC00222282        1777Q
USC00222385        2001R
USC00222896        1804R
USC00223107        1982S
USC00223208        1722S
USC00223605        2219R
USC00223645        1801S
USC00223671        2563R
USC00223887        2400S
USC00223920        2343S
USC00223975        2239R
USC00224001        1655S
USC00224173        1566S
USC00224265        1584R
USC00224377        1725R
USC00224455        1452S
USC00224702        1875R
USC00224776        1825R
USC00224869        2182Q
USC00224939        2211S
USC00225062        1789R
USC00225070        2175R
USC00225247        1907R
USC00225361        2026R
USC00225704        2321R
USC00225789        2290R
USC00225897        2245R
USC00225987        2380R
USC00226009        2296S
USC00226177        2217S
USC00226308        1958S
USC00226476        2286R
USC00226527        1752R
USC00226638        2323Q
USC00226718        2250R
USC00226811        2208R
USC00226894        2218S
USC00226921        2389R
USC00226926        1952R
USC00227111        1740S
USC00227128        2322R
USC00227132        2086S
USC00227252        2081R
USC00227276        1912Q
USC00227444        1951R
USC00227467        1608R
USC00227560        2357S
USC00227815        2067Q
USC00227831        2172Q
USC00227840        2681S
USC00227921        1912Q
USC00228374        1996S
USC00228445        2277S
USC00228998        2181S
USC00229004        1956Q
USC00229048        2344R
USC00229079        1941S
USC00229173        2001R
USC00229216        2209R
USC00229230        2276Q
USC00229400        1774S
USC00229426        2445S
USC00229439        2204R
USC00229639        2261R
USC00229743        1674S
USC00229793        2396R
USC00229860        2210R
USC00230051        1165Q
USC00230127        1314R
USC00230143        1121S
USC00230163        1321Q
USC00230164        1287S
USC00230204        1321S
USC00230224        1108R
USC00230304        1368Q
USC00230360        1159Q
USC00230368        1165Q
USC00230608        1026R
USC00230657        1345R
USC00230789        1354S
USC00230817        1428R
USC00230856        1115R
USC00230980        1133S
USC00231037        1152S
USC00231087        1098R
USC00231101         896R
USC00231145        1417S
USC00231189        1285S
USC00231212        1520R
USC00231275        1127R
USC00231340        1292S
USC00231356        1563R
USC00231364        1757R
USC00231383        1152R
USC00231540        1588R
USC00231580        1354R
USC00231600        1215Q
USC00231640        1256R
USC00231674        1471R
USC00231711        1373S
USC00231748        1229Q
USC00231801        1461R
USC00231822        1091R
USC00232240        1396R
USC00232289        1395R
USC00232302        1142R
USC00232503        1433R
USC00232511        1376R
USC00232568        1171R
USC00232591        1348S
USC00232619        1374Q
USC00232809        1194R
USC00232850        1231R
USC00232981        1071Q
USC00233038        1188R
USC00233043        1146R
USC00233079        1144S
USC00233094        1266R
USC00233102        1120R
USC00233162        1283Q
USC00233369         948R
USC00233416         926Q
USC00233451        1175R
USC00233483        1201R
USC00233568         974R
USC00233601        1138S
USC00233838        1178R
USC00234019        1212R
USC00234154        1282R
USC00234226        1565R
USC00234271        1358S
USC00234382        1191Q
USC00234417        1828R
USC00234544         958S
USC00234694        1344S
USC00234705        1461S
USC00234825        1272S
USC00234850        1232S
USC00234904        1317S
USC00234919        1227S
USC00234982        1059Q
USC00235027        1334S
USC00235050        1165R
USC00235207        1749R
USC00235227        1238R
USC00235253        1336S
USC00235307        1238C
USC00235340        1055S
USC00235492         963R
USC00235541        1251R
USC00235671        1173S
USC00235704        1332S
USC00235708        1273Q
USC00235834        1185S
USC00235862        1349S
USC00235950        1484Q
USC00235976        1342R
USC00235987        1597S
USC00236012        1205S
USC00236045        1786R
USC00236302         816R
USC00236357        1178R
USC00236402        1553R
USC00236460        1293S
USC00236641        1261R
USC00236745        1298R
USC00236777        1393R
USC00236791        1664S
USC00236804        1728S
USC00236826        1179R
USC00236866        1174R
USC00237116        1163Q
USC00237263        1388S
USC00237300        1022R
USC00237309        1155Q
USC00237397        1254S
USC00237398        1451S
USC00237452        1678R
USC00237475        1350R
USC00237506        1490S
USC00237514        1246S
USC00237578        1390S
USC00237632        1177S
USC00237645        1095R
USC00237656        1521Q
USC00237720        1055R
USC00237772        1891R
USC00237862        1256R
USC00237963        1060R
USC00238043        1052R
USC00238051        1287S
USC00238082        1418R
USC00238184        1151R
USC00238223        1291S
USC00238444        1154R
USC00238466        1396R
USC00238515        1460S
USC00238523        1010R
USC00238571        1281R
USC00238577        1139R
USC00238583        1180Q
USC00238603        1134S
USC00238620        1605R
USC00238664        1527Q
USC00238700        1664R
USC00238712        1278R
USC00238725        1154R
USC00238754        1178R
USC00238777        1051S
USC00238805        1263R
USC00238880        1238R
USC00238995        1259R
USC00239032        1352R
USC00239178        1284Q
USC00240075         283Q
USC00240088         577R
USC00240110         109S
USC00240199         139S
USC00240364         200R
USC00240375         102S
USC00240392          44R
USC00240412         518Q
USC00240432         561R
USC00240466         259R
USC00240554         305Q
USC00240743         635S
USC00240755         234S
USC00240770         465R
USC00240775          11R
USC00240780         408S
USC00240801         537R
USC00240802         651S
USC00240819         649R
USC00240877         124R
USC00240923         371R
USC00241008         157C
USC00241044         254S
USC00241047         199S
USC00241050           5R
USC00241084         606S
USC00241088         446S
USC00241102         417R
USC00241127         647S
USC00241169         532S
USC00241262         140Q
USC00241297         435S
USC00241470         291R
USC00241500         247R
USC00241518         428S
USC00241525         362S
USC00241552         293C
USC00241557          93S
USC00241692         285S
USC00241722         391S
USC00241730         241Q
USC00241737         175S
USC00241758         572S
USC00241875         478C
USC00241905         498S
USC00241938         349S
USC00241974         192R
USC00241984         477S
USC00241995           2S
USC00242104         144S
USC00242122         535R
USC00242221         241R
USC00242275          72R
USC00242301         103R
USC00242347         184S
USC00242409         141S
USC00242421          97R
USC00242550         235Q
USC00242629          47R
USC00242689         494S
USC00242738         116Q
USC00242793         104S
USC00242827         339S
USC00242857         249S
USC00243013         473S
USC00243089         454R
USC00243098         600S
USC00243110         469S
USC00243113         392S
USC00243139         173R
USC00243176         695S
USC00243378         386R
USC00243437           5Q
USC00243445         448R
USC00243489          59S
USC00243530         331S
USC00243557         636R
USC00243570          99R
USC00243581         761S
USC00243617         192S
USC00243727         307S
USC00243749         366Q
USC00243753         315R
USC00243885         256R
USC00243915         729S
USC00243929         464S
USC00243934         191Q
USC00243939         194R
USC00243984          74R
USC00244007         456R
USC00244038          25S
USC00244084         116S
USC00244180         550R
USC00244193         248Q
USC00244241         359S
USC00244297         322R
USC00244328         275S
USC00244345         465S
USC00244358         522S
USC00244364         487S
USC00244368         417R
USC00244386         584S
USC00244447          11R
USC00244506         399S
USC00244512         304S
USC00244522         518R
USC00244530         509R
USC00244545         126S
USC00244558         148S
USC00244560         180Q
USC00244820          14R
USC00244839         357R
USC00244896          71Q
USC00244954          41S
USC00245000         189R
USC00245011         250R
USC00245015         318S
USC00245020          26S
USC00245030          55S
USC00245040          79R
USC00245043         116S
USC00245080         180S
USC00245123         155Q
USC00245153         434C
USC00245285         360R
USC00245334         573R
USC00245338         510S
USC00245340         531S
USC00245387         119S
USC00245572         423S
USC00245596         657S
USC00245603          69R
USC00245668         514S
USC00245712          86R
USC00245735         302S
USC00245740         233Q
USC00245754         587S
USC00245761         260C
USC00245870         588S
USC00245872         635R
USC00245961         122S
USC00245983         612R
USC00246007          95Q
USC00246008         139R
USC00246157         632S
USC00246190         208S
USC00246218          61S
USC00246236         241S
USC00246238         198S
USC00246304          47S
USC00246370         342Q
USC00246472          65R
USC00246580          42Q
USC00246586         446R
USC00246601         533S
USC00246615          28R
USC00246618          46Q
USC00246635         275S
USC00246640         339S
USC00246647         536R
USC00246655         142R
USC00246672         370R
USC00246685          57S
USC00246691         702S
USC00246862         422R
USC00246893         394S
USC00246902         256C
USC00246918         159R
USC00246927         315R
USC00247034         495S
USC00247136         506S
USC00247159         206R
USC00247204         231Q
USC00247214         606S
USC00247220         381Q
USC00247228         433R
USC00247234         560R
USC00247247         322Q
USC00247248         279Q
USC00247250         341R
USC00247261         412Q
USC00247263         275S
USC00247265         382R
USC00247286         310S
USC00247292          95R
USC00247318         212R
USC00247342         417Q
USC00247382         635S
USC00247425         337R
USC00247448         120S
USC00247500         243R
USC00247540         295R
USC00247560         618S
USC00247620         335R
USC00247740         288S
USC00247864         279S
USC00247894         288S
USC00247964          49S
USC00247967          48Q
USC00247978          16Q
USC00247996         260R
USC00248021         226S
USC00248087          91R
USC00248093         248R
USC00248165         603S
USC00248169         360S
USC00248211         453S
USC00248233         354R
USC00248324         243S
USC00248363         357R
USC00248380         188R
USC00248390         307R
USC00248395         217R
USC00248415         333R
USC00248430         115S
USC00248498         404R
USC00248501         238S
USC00248569         507R
USC00248597         147C
USC00248777         303R
USC00248783         208R
USC00248809         123S
USC00248857           6R
USC00248858          31Q
USC00248902         167R
USC00248930         149R
USC00248957         427S
USC00249023          55S
USC00249033         351S
USC00249067           8S
USC00249082           4R
USC00249103         674R
USC00249175         373R
USC00249187          38Q
USC00249240         650S
USC00249900         216R
USC00250030         442S
USC00250050         857S
USC00250070         793R
USC00250130         669R
USC00250138         562Q
USC00250245         702C
USC00250355         682R
USC00250365         747S
USC00250375        1180S
USC00250420         749S
USC00250435        1283C
USC00250445         976S
USC00250525         631R
USC00250622        1121R
USC00250640        1142C
USC00250760        1086S
USC00250865         871S
USC00250930         932R
USC00251130         750R
USC00251145         863R
USC00251149         760Q
USC00251189         687Q
USC00251200         690S
USC00251213         584R
USC00251345         717R
USC00251361         395Q
USC00251365         747S
USC00251415         969R
USC00251450         882S
USC00251560        1130S
USC00251578         782Q
USC00251590         773R
USC00251602         779Q
USC00251660         887R
USC00251684         966S
USC00251825        1085C
USC00251835         887R
USC00251973         642R
USC00251990         867S
USC00252000         698R
USC00252020        1188S
USC00252037         878R
USC00252065        1007S
USC00252100         874R
USC00252145         551R
USC00252205         903S
USC00252595         739R
USC00252647         573R
USC00252680         917S
USC00252741         838R
USC00252770         708R
USC00252790         883Q
USC00252805         884S
USC00252820        1102S
USC00252840         988S
USC00252980         887Q
USC00253015         618Q
USC00253037        1056R
USC00253050        1002S
USC00253065         919Q
USC00253165         667R
USC00253175        1111C
USC00253185         889C
USC00253355         650S
USC00253365         909S
USC00253425         762S
USC00253467         978Q
USC00253515         926R
USC00253595        1061R
USC00253605         522S
USC00253615         427S
USC00253617         466Q
USC00253618         608Q
USC00253630         793S
USC00253652         746Q
USC00253660         961S
USC00253710         563R
USC00253715         593R
USC00253735        1136S
USC00253755         644C
USC00253810         765R
USC00253910         913S
USC00254035         779R
USC00254100         556R
USC00254101         571Q
USC00254110         776S
USC00254335         871R
USC00254432         746R
USC00254440         470S
USC00254455         843S
USC00254755         734Q
USC00254900         808S
USC00254903         630R
USC00254985         856S
USC00255040         867R
USC00255080         809S
USC00255090         871S
USC00255250         793R
USC00255362         964S
USC00255388        1006S
USC00255470         813R
USC00255565         989S
USC00255590         664R
USC00255655         830Q
USC00255700         817R
USC00255702         680R
USC00255810        1055S
USC00255868         506R
USC00255925         707S
USC00255960        1102R
USC00255997         730R
USC00256018         735R
USC00256040         737S
USC00256075         788S
USC00256135         758C
USC00256167         765S
USC00256200         903S
USC00256290         838C
USC00256375         900S
USC00256385         723S
USC00256395         855S
USC00256439         901R
USC00256454         977R
USC00256570        1194S
USC00256765         554Q
USC00256970         726R
USC00257002        1015R
USC00257040         785S
USC00257055         974Q
USC00257070        1068S
USC00257110         876S
USC00257318         722R
USC00257401        1126Q
USC00257415         570R
USC00257515        1104S
USC00257667         733Q
USC00257715        1046S
USC00257830         667R
USC00258088         975Q
USC00258090         768R
USC00258110         920R
USC00258117         795Q
USC00258133         719R
USC00258320        1114C
USC00258328        1150R
USC00258360         639R
USC00258395        1115S
USC00258410        1086Q
USC00258455         750Q
USC00258465        1102S
USC00258480         886S
USC00258628        1072S
USC00258650         620R
USC00258751         872R
USC00258755         885R
USC00258795        1075R
USC00258875        1042R
USC00258905        1007R
USC00258915         885S
USC00258920         797S
USC00258935         952S
USC00259020         916Q
USC00259045         794R
USC00259090        1007S
USC00259193         866Q
USC00259200         907S
USC00259510        1305S
USC00259513         922Q
USC00260125        3941Q
USC00260150        2447S
USC00260438         149R
USC00260507         501R
USC00260718        1539R
USC00260795         535R
USC00260800         278S
USC00260955         888S
USC00261071        3193R
USC00261327        2679R
USC00261358        1008R
USC00261371        3938R
USC00261415         575R
USC00261485         449S
USC00261590         639Q
USC00261660          23Q
USC00261684         574Q
USC00261740         252R
USC00261905         333R
USC00262119          41R
USC00262189         126R
USC00262229         560S
USC00262243        2366S
USC00262296         190R
USC00262390         531R
USC00262394         354R
USC00262431         689R
USC00262497        3848R
USC00262557        1545R
USC00262570         412R
USC00262656         596R
USC00262708         317S
USC00262780         752R
USC00263090        1004R
USC00263114         210R
USC00263205          80S
USC00263245         578R
USC00263285         826R
USC00263316        2306Q
USC00263340         461R
USC00263512        1209R
USC00263671        1276R
USC00263957         753S
USC00263964         267Q
USC00264016         227R
USC00264039         179R
USC00264095         186R
USC00264236         525R
USC00264253         662Q
USC00264341         432R
USC00264349        1337R
USC00264384         492R
USC00264391          87Q
USC00264394         223R
USC00264439        3178R
USC00264480        4317R
USC00264491         254Q
USC00264527         692S
USC00264698         689S
USC00264745         234S
USC00264935         317S
USC00264950         452S
USC00265087        3461Q
USC00265092         553R
USC00265132         393R
USC00265168        1272R
USC00265191         361R
USC00265352         400R
USC00265371         162Q
USC00265392          48R
USC00265400         102R
USC00265705        3378R
USC00265722         220R
USC00265818         447S
USC00265846        3551R
USC00265880        1743R
USC00265890        2252S
USC00266005         386S
USC00266055         901R
USC00266130         479R
USC00266242         175R
USC00266252         721R
USC00266514         758Q
USC00266691        1944S
USC00266746          57S
USC00266791         873R
USC00267123         314S
USC00267175         124R
USC00267188         263Q
USC00267192         609S
USC00267369        2250S
USC00267450         346R
USC00267463        1360S
USC00267612         508S
USC00267618         779R
USC00267620         560S
USC00267640         103R
USC00267690         269R
USC00267697         564R
USC00267750         117R
USC00267806          74R
USC00267820         520R
USC00267908         522R
USC00267953         942R
USC00268186         598Q
USC00268202         643R
USC00268346         280R
USC00268443         585R
USC00268588        3666S
USC00268761         588S
USC00268822         584S
USC00268838         736R
USC00268988         230R
USC00269072          32R
USC00269168         589R
USC00269229         862R
USC00270681         224S
USC00270690         247C
USC00270706         215R
USC00271647         162S
USC00271950         374R
USC00271968          71Q
USC00272174         513S
USC00272302         441Q
USC00272800         455S
USC00272999         108S
USC00273055         275Q
USC00273182         395R
USC00273530         219R
USC00273626         479S
USC00273658         443Q
USC00273850         460S
USC00274234         500R
USC00274399         426S
USC00274480         530S
USC00274556         214S
USC00275013         396Q
USC00275211         568R
USC00275412         450R
USC00275500         290R
USC00275629         360S
USC00275702         520R
USC00275712         510S
USC00275780         350Q
USC00275868         240R
USC00275995         310S
USC00276234         205R
USC00276818         124S
USC00276945         239R
USC00277833         360R
USC00278539         334Q
USC00278612         221R
USC00278614         255R
USC00278858         381Q
USC00278972         342R
USC00279278         465Q
USC00279966         144R
USC00280690         819R
USC00280734         723R
USC00280907         796R
USC00280990        1030R
USC00281335         859R
USC00281351        1088C
USC00281582         640R
USC00281592         852Q
USC00282023         920S
USC00282768         809R
USC00282805         975R
USC00283029         786S
USC00283181         977R
USC00283291         980R
USC00283662        1072R
USC00283704        1194Q
USC00283935         413R
USC00283951         909S
USC00284229         947S
USC00284635         823R
USC00284887         914R
USC00284987         873R
USC00285003         433R
USC00285728        1116R
USC00286055         953S
USC00286177         670R
USC00286843        1051R
USC00286979         817Q
USC00287079        1048R
USC00287865        1023R
USC00287936        1194R
USC00288194         697R
